backend,median,minimum,maximum,generic,threads
cpu,7.34,7.24,11.93,1,1
cpu,4.93,4.89,9.26,0,1
cpu,4.21,4.13,8.65,1,2
cpu,3.58,3.57,6.60,0,2
cpu,3.42,3.39,8.07,1,3
cpu,3.31,3.29,5.91,0,3
cpu,3.55,3.53,6.18,1,4
cpu,3.54,3.52,5.10,0,4
cpu,3.50,3.49,5.35,1,5
cpu,3.53,3.51,4.41,0,5
cpu,3.60,3.58,4.83,1,6
cpu,3.61,3.59,4.19,0,6
cpu,3.56,3.55,4.46,1,7
cpu,3.58,3.57,4.12,0,7
cpu,3.62,3.61,4.17,1,8
cpu,3.62,3.61,4.01,0,8
